date,rating,description,hotel_name,city,country,language
2023-09-21,10,Had an absolutely wonderful stay at the Hyatt Nice!,Hyatt Regency Palais,Nice,France,en
2023-09-21,6,Very standard hotel. Great location.,Hyatt Regency Palais,Nice,France,en
2023-09-21,10,We enjoyed our stay at fiesta America Coral beach. Service was excellent everyone was always really attentive and our ocean view was great!,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-21,10,The property was excellent. Very clean. From the time we checked in until we checked out everyone was accommodating. We had a group of fourteen and everyone felt comfortable.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-21,10,Excelente hotel super limpieza y buena atencion,Grand Fiesta Americana,Cancun,Mexico,es
2023-09-20,8,Esta muy descuidada; es un hotel muy viejo y su aspecto es desagradable. No tanto el cuarto; pero todo lo demás si,Fairmont Monte Carlo,Monaco,France,es
2023-09-20,10,Awesome place to stay & relatively cheap for the Monaco Area. The Nobu inside is a great addition to the experience as well,Fairmont Monte Carlo,Monaco,France,en
2023-09-20,10,Always convenient; easily accessible and well kept,Warwick Geneva,Geneva,Switzerland,en
2023-09-19,10,The room was so unique and special. Spectacular hotel.,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-18,10,Très bon hôtel comme attendu. On s’occupe de vous sans hésitation. Je recommande,barriere-le-majestic,Cannes,France,fr
2023-09-18,8,Buona struttura personale preparato e disponibile.,barriere-le-majestic,Cannes,France,it
2023-09-18,10,2nd time to stay and I really appreciate the consistency the Warwick shows! Everything was very nice! It’s conveniently located across from train station!,Warwick Geneva,Geneva,Switzerland,en
2023-09-18,10,We've been to Cancun 5 times; and this time was by far the best thanks to all the staffs at Grand Fiest Americana Beach Coral hotel. Their food espeically the fried whole fish at Isla Contoy; Sashimi at Torii; Pizza and Pasta at the italian restaurant; and authentic mexican cuisine at La Hoya were just AMAZING. We honestly thought about extending our stay because of food. They clean room almost 2-3 times  a day and make sure everything is shiny and spotless when we came back from outside activities. Servers and all the staff were soooo friendly and had smile on their face at all time! We miss it already. I have a feeling that we will be back soon. lol,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-18,10,Excellent place!,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-18,10,Great hotel; staff is amazing,Grand Fiesta Americana,Cancun,Mexico,en
2023-09-18,10,El hotel tiene muchas actividades para todas las edades ; lo único q no me gusto es q la piscina de nino está dentro del kib club y hay q pasar obligado por ahí ; pero en las piscina grande hay chiquitas para niños . La comida estuvo excelente; la limpieza también . Muy buena la atención al cliente muy atentos ; tienen servicio a la habitación 24 hora,Grand Fiesta Americana,Cancun,Mexico,es
